stock_id,direction,entry_date,entry_price,shares,exit_date,exit_price,pnl_dollar_gross,exit_reason
1310,long,1992-09-07,19.7,4000,1992-09-15,18.2,-6000.0,StopLoss
1417,long,1992-08-12,26.4,2000,1992-09-17,21.7,-9399.999999999998,StopLoss
2106,long,1992-08-26,38.2,1000,1992-09-17,31.7,-6500.000000000004,StopLoss
1305,long,1992-09-08,23.3,3000,1992-09-17,19.5,-11400.000000000002,StopLoss
1905,long,1992-09-15,21.0,3000,1992-09-17,18.1,-8699.999999999996,StopLoss
1215,long,1992-08-17,31.3,2000,1992-09-18,31.4,199.99999999999574,StopLoss
1220,long,1992-08-17,38.0,1000,1992-09-18,34.0,-4000.0,StopLoss
1419,long,1992-08-19,38.0,1000,1992-09-18,35.2,-2799.9999999999973,StopLoss
1414,long,1992-08-20,24.0,2000,1992-09-18,22.1,-3799.9999999999973,StopLoss
1443,long,1992-09-07,23.0,2000,1992-09-18,22.0,-2000.0,StopLoss
1219,long,1992-09-14,21.6,4000,1992-09-18,20.5,-4400.0000000000055,StopLoss
1310,long,1992-09-15,18.2,4000,1992-09-18,16.8,-5599.9999999999945,StopLoss
1442,long,1992-09-15,14.3,6000,1992-09-18,14.0,-1800.0000000000043,StopLoss
2906,long,1992-07-23,33.5,1000,1992-12-17,29.8,-3699.999999999999,StopLoss
1436,long,1992-09-07,15.0,5000,1992-12-23,13.4,-7999.999999999998,StopLoss
1218,long,1992-09-17,29.0,2000,1992-12-23,26.0,-6000.0,StopLoss
1432,long,1992-09-18,22.8,3000,1992-12-23,20.3,-7500.0,StopLoss
1307,long,1992-09-18,31.8,1000,1992-12-28,28.8,-3000.0,StopLoss
1310,long,1992-09-18,16.8,4000,1992-12-28,15.0,-7200.000000000003,StopLoss
1419,long,1992-12-23,28.8,2000,1992-12-28,26.4,-4800.000000000005,StopLoss
2321,long,1992-12-23,45.7,1000,1992-12-28,41.6,-4100.000000000002,StopLoss
2906,long,1992-12-23,25.8,2000,1992-12-28,23.7,-4200.000000000003,StopLoss
1414,long,1992-09-18,22.1,2000,1993-01-06,19.0,-6200.000000000003,StopLoss
1217,long,1992-12-28,30.7,2000,1993-01-06,27.5,-6399.999999999998,StopLoss
1218,long,1992-12-28,24.6,4000,1993-01-06,23.4,-4800.000000000011,StopLoss
1229,long,1992-12-28,22.4,3000,1993-01-06,20.6,-5399.999999999992,StopLoss
1416,long,1992-09-18,19.8,2000,1993-01-07,17.2,-5200.000000000003,StopLoss
1435,long,1992-09-18,16.1,4000,1993-01-07,14.0,-8400.000000000005,StopLoss
1313,long,1992-12-28,15.0,10000,1993-01-07,13.7,-13000.000000000007,StopLoss
2316,long,1992-12-23,25.6,2000,1993-01-08,24.9,-1400.0000000000057,StopLoss
1419,long,1992-12-28,26.4,2000,1993-01-08,25.1,-2599.9999999999945,StopLoss
1215,long,1993-01-06,24.5,2000,1993-01-08,23.2,-2600.0000000000014,StopLoss
1418,long,1992-08-17,28.2,2000,1993-06-30,25.5,-5399.999999999998,StopLoss
1220,long,1992-09-18,34.0,1000,1993-09-01,31.2,-2800.000000000001,StopLoss
1210,long,1993-01-06,22.0,4000,1993-09-06,20.2,-7200.000000000003,StopLoss
1447,long,1993-09-02,28.6,2000,1994-08-17,26.3,-4600.000000000002,StopLoss
1512,long,1994-09-01,38.6,1000,1994-10-03,36.5,-2100.0000000000014,StopLoss
1603,long,1994-10-05,39.7,1000,1994-10-07,35.6,-4100.000000000002,StopLoss
1217,long,1993-01-06,27.5,2000,1994-10-11,26.0,-3000.0,StopLoss
1218,long,1993-01-07,21.7,3000,1994-10-11,20.5,-3599.9999999999977,StopLoss
1215,long,1993-01-08,23.2,2000,1994-10-11,21.8,-2799.9999999999973,StopLoss
1419,long,1993-06-30,29.6,2000,1994-10-11,27.0,-5200.000000000003,StopLoss
1225,long,1994-10-07,23.4,5000,1994-10-11,23.0,-1999.999999999993,StopLoss
1307,long,1994-10-11,38.9,1000,1994-11-01,33.8,-5100.000000000002,StopLoss
1220,long,1994-10-11,29.9,2000,1995-04-21,28.0,-3799.9999999999973,StopLoss
1314,long,1994-10-11,33.8,1000,1995-05-02,30.8,-2999.9999999999964,StopLoss
1103,long,1995-04-21,32.0,2000,1995-05-05,29.7,-4600.000000000002,StopLoss
1414,long,1995-05-02,29.5,2000,1995-06-08,27.2,-4600.000000000002,StopLoss
1436,long,1994-11-01,20.3,3000,1995-06-14,17.4,-8700.000000000007,StopLoss
